Layer,Inference_Time
1,326.044
2,326.047
3,326.919
4,474.978
5,474.745
6,474.859
7,554.029
8,554.056
9,1084.803
10,1084.889
11,1084.972
12,1192.262
13,1171.323
14,1171.45
15,1171.596
16,1217.292
17,1217.259
18,1349.547
19,1349.634
20,1349.631
21,1458.865
22,1459.061
23,1459.085
24,1504.067
25,1504.122
26,1517.077
27,1650.113
28,1650.154
29,1650.826
30,1677.459
31,1671.669
32,1671.841
33,1672.656
34,1696.384
35,1697.307
36,1771.993
37,1772.935
38,1772.65
39,1825.8
40,1825.732
41,1825.093
42,1873.057
43,1872.996
44,1879.414
45,1952.176
46,1953.147
47,1953.935
48,2006.164
49,2006.019
50,2006.106
51,2053.886
52,2053.523
53,2059.499
54,2129.475
55,2130.629
56,2130.12
57,2145.935
58,2141.808
59,2141.749
60,2142.554
61,2157.756
62,2158.195
63,2185.46
64,2186.207
65,2187.133
66,2205.109
67,2205.293
68,2205.596
69,2227.97
70,2228.286
71,2231.28
72,2258.926
73,2258.901
74,2260.664
75,2281.104
76,2281.253
77,2280.927
78,2302.929
79,2302.339
80,2304.435
81,2332.745
82,2333.482
83,2334.257
84,2355.075
85,2355.021
86,2354.766
87,2375.283
88,2375.342
89,2377.794
90,2406.315
91,2406.461
92,2407.941
93,2427.979
94,2428.208
95,2427.859
96,2458.521
97,2458.556
98,2506.875
99,2507.989
100,2508.102
101,2534.322
102,2534.544
103,2534.619
104,2583.633
105,2583.236
106,2586.593
107,2634.878
108,2634.77
109,2635.744
110,2661.177
111,2661.072
112,2661.412
113,2710.322
114,2710.228
115,2714.999
116,2763.271
117,2762.578
118,2763.818
119,2770.52
120,2767.934
121,2767.577
122,2767.075
123,2786.172
124,2786.345
125,2821.485
126,2820.694
127,2822.349
128,2831.348
129,2831.253
130,2831.569
131,2863.549
132,2864.776
133,2865.581
134,2899.816
135,2900.654
136,2900.975
137,2910.541
138,2910.559
139,2910.682
140,2943.072
141,2943.916
142,2944.462
143,2978.531
144,2978.887
145,2979.954
146,2990.007
147,2989.543
148,2983.888
149,3047.622
150,3047.538
151,3303.161
152,3303.503
153,3303.719
154,3372.715
155,3482.86
