Start_Layer,End_Layer,latency_ms
1_conv1_pad,1_conv1_pad,249.89
1_conv1_pad,2_conv1_conv,996.41
1_conv1_pad,3_conv1_bn,3756.68
1_conv1_pad,4_conv1_relu,5391.28
1_conv1_pad,5_pool1_pad,5805.92
1_conv1_pad,6_pool1_pool,7033.17
1_conv1_pad,7_conv2_block1_1_conv,7933.06
1_conv1_pad,8_conv2_block1_1_bn,8679.9
1_conv1_pad,9_conv2_block1_1_relu,17026.35
1_conv1_pad,10_conv2_block1_2_conv,17119.59
1_conv1_pad,11_conv2_block1_2_bn,17866.32
1_conv1_pad,12_conv2_block1_2_relu,18279.71
1_conv1_pad,13_conv2_block1_0_conv,7126.42
1_conv1_pad,14_conv2_block1_3_conv,21285.85
1_conv1_pad,15_conv2_block1_0_bn,9886.69
1_conv1_pad,16_conv2_block1_3_bn,24273.85
1_conv1_pad,17_conv2_block1_add,24686.69
1_conv1_pad,18_conv2_block1_out,26333.01
1_conv1_pad,19_conv2_block2_1_conv,29093.03
1_conv1_pad,20_conv2_block2_1_bn,31853.57
1_conv1_pad,21_conv2_block2_1_relu,32267.72
1_conv1_pad,22_conv2_block2_2_conv,32371.49
1_conv1_pad,23_conv2_block2_2_bn,35131.78
1_conv1_pad,24_conv2_block2_2_relu,38119.78
1_conv1_pad,25_conv2_block2_3_conv,41141.27
1_conv1_pad,26_conv2_block2_3_bn,44119.68
1_conv1_pad,27_conv2_block2_add,44532.52
1_conv1_pad,28_conv2_block2_out,46183.27
1_conv1_pad,29_conv2_block3_1_conv,46286.99
1_conv1_pad,30_conv2_block3_1_bn,46338.73
1_conv1_pad,31_conv2_block3_1_relu,46752.56
1_conv1_pad,32_conv2_block3_2_conv,46938.98
1_conv1_pad,33_conv2_block3_2_bn,49699.25
1_conv1_pad,34_conv2_block3_2_relu,50113.13
1_conv1_pad,35_conv2_block3_3_conv,53105.32
1_conv1_pad,36_conv2_block3_3_bn,56068.47
1_conv1_pad,37_conv2_block3_add,56481.32
1_conv1_pad,38_conv2_block3_out,59241.58
1_conv1_pad,39_conv3_block1_1_conv,61208.46
1_conv1_pad,40_conv3_block1_1_bn,61395.06
1_conv1_pad,41_conv3_block1_1_relu,62881.1
1_conv1_pad,42_conv3_block1_2_conv,69311.93
1_conv1_pad,43_conv3_block1_2_bn,72072.2
1_conv1_pad,44_conv3_block1_2_relu,72279.7
1_conv1_pad,45_conv3_block1_0_conv,62001.85
1_conv1_pad,46_conv3_block1_3_conv,74697.35
1_conv1_pad,47_conv3_block1_0_bn,63495.11
1_conv1_pad,48_conv3_block1_3_bn,81031.76
1_conv1_pad,49_conv3_block1_add,81444.6
1_conv1_pad,50_conv3_block1_out,82269.12
