Layer_Output,Transmission_Time
Layer_1,117.542
Layer_2,117.542
Layer_3,2585.924
Layer_4,2585.924
Layer_5,2585.924
Layer_6,2585.924
Layer_7,1291.62
Layer_8,1291.62
Layer_9,100000
Layer_10,100000
Layer_11,100000
Layer_12,100000
Layer_13,1933.558
Layer_14,1933.558
Layer_15,1933.558
Layer_16,324.324
Layer_17,324.324
Layer_18,1933.558
Layer_19,1933.558
Layer_20,1933.558
Layer_21,1933.558
Layer_22,1933.558
Layer_23,1933.558
Layer_24,324.324
Layer_25,324.324
Layer_26,324.324
Layer_27,1933.558
Layer_28,1933.558
Layer_29,1933.558
Layer_30,2023.228
Layer_31,483.112
Layer_32,483.112
Layer_33,483.112
Layer_34,162.829
Layer_35,162.829
Layer_36,971.333
Layer_37,971.333
Layer_38,971.333
Layer_39,971.333
Layer_40,971.333
Layer_41,971.333
Layer_42,162.829
Layer_43,162.829
Layer_44,162.829
Layer_45,971.333
Layer_46,971.333
Layer_47,971.333
Layer_48,971.333
Layer_49,971.333
Layer_50,971.333
Layer_51,162.829
Layer_52,162.829
Layer_53,162.829
Layer_54,971.333
Layer_55,971.333
Layer_56,971.333
Layer_57,1049.234
Layer_58,242.974
Layer_59,242.974
Layer_60,242.974
Layer_61,60.444
Layer_62,60.444
Layer_63,367.444
Layer_64,367.444
Layer_65,367.444
Layer_66,367.444
Layer_67,367.444
Layer_68,367.444
Layer_69,367.444
Layer_70,367.444
Layer_71,367.444
Layer_72,367.444
Layer_73,367.444
Layer_74,367.444
Layer_75,367.444
Layer_76,367.444
Layer_77,367.444
Layer_78,60.444
Layer_79,60.444
Layer_80,60.444
Layer_81,367.444
Layer_82,367.444
Layer_83,367.444
Layer_84,367.444
Layer_85,367.444
Layer_86,367.444
Layer_87,60.444
Layer_88,60.444
Layer_89,60.444
Layer_90,367.444
Layer_91,367.444
Layer_92,367.444
Layer_93,367.444
Layer_94,367.444
Layer_95,367.444
Layer_96,81.47
Layer_97,81.47
Layer_98,483.112
Layer_99,483.112
Layer_100,483.112
Layer_101,483.112
Layer_102,483.112
Layer_103,483.112
Layer_104,81.47
Layer_105,81.47
Layer_106,483.112
Layer_107,483.112
Layer_108,483.112
Layer_109,483.112
Layer_110,483.112
Layer_111,483.112
Layer_112,483.112
Layer_113,81.47
Layer_114,81.47
Layer_115,81.47
Layer_116,483.112
Layer_117,483.112
Layer_118,483.112
Layer_119,561.639
Layer_120,122.67
Layer_121,122.67
Layer_122,122.67
Layer_123,35.194
Layer_124,35.194
Layer_125,213.014
Layer_126,213.014
Layer_127,213.014
Layer_128,213.014
Layer_129,213.014
Layer_130,213.014
Layer_131,35.194
Layer_132,35.194
Layer_133,35.194
Layer_134,213.014
Layer_135,213.014
Layer_136,213.014
Layer_137,213.014
Layer_138,213.014
Layer_139,213.014
Layer_140,35.194
Layer_141,35.194
Layer_142,35.194
Layer_143,213.014
Layer_144,213.014
Layer_145,213.014
Layer_146,213.014
Layer_147,213.014
Layer_148,213.014
Layer_149,69.2
Layer_150,69.3
Layer_151,816.606
Layer_152,816.606
Layer_153,816.606
Layer_154,17.428
Layer_155,0
